ingredients,raw_weights_g,cooking_method,cooked_weight_g,cooked_energy_kcal,cooked_protein_g,cooked_fat_g,cooked_carbohydrate_g,cooked_sodium_mg,cooked_cholesterol_mg,cooked_vitamin_c_mg,cooked_calcium_mg,cooked_iron_mg,cooked_potassium_mg
pork_shrimp,269.0_107.5,stir_fry,337.6,1224.4,50.06,108.48,11.97,2068.5,411.9,0.0,53.1,5.48,671.7
egg,131.5,deep_fry,103.8,319.5,15.67,26.97,3.52,481.9,769.3,0.0,74.9,2.65,155.1
garlic_egg_ginger_fish,243.4_178.7_296.0_486.2,pan_fry,1047.0,1262.1,40.27,66.36,125.93,4286.4,1045.4,147.1,318.3,12.87,2644.1
pepper_beef_cabbage,104.1_342.2_437.8,braise,840.2,1217.0,79.56,52.44,106.71,9010.5,287.4,57.32,306.9,20.06,1865.8
pepper,132.5,steam,131.2,494.7,19.19,15.88,68.75,140.7,0.0,0.0,15.7,7.88,1266.4
bell_pepper_potato,210.8_245.1,pan_fry,411.5,266.7,7.14,3.19,52.35,2137.0,0.0,90.68,38.9,3.06,1175.2
tomato_beef,415.9_312.3,stir_fry,628.2,799.4,59.52,48.82,30.49,4115.6,262.3,27.98,113.8,12.15,1139.5
carrot,81.6,boil,84.1,32.2,0.72,0.16,6.96,105.8,0.0,4.05,24.9,0.79,107.7
tofu_onion,326.2_331.6,braise,653.2,616.4,26.29,28.48,63.72,4382.0,0.0,8.7,611.9,8.05,729.8
carrot,369.5,boil,400.9,147.4,3.28,0.69,32.01,476.8,0.0,19.0,111.4,3.55,468.0
small_pepper_beef_carrot_egg,387.0_97.6_442.7_67.2,stir_fry,893.5,863.0,35.62,43.56,82.11,4850.3,475.1,196.22,344.5,14.24,1654.1
small_pepper_cabbage,433.4_353.5,roast,577.2,358.6,10.25,8.54,60.17,2336.1,0.0,203.45,328.8,8.1,1159.0
cauliflower,53.8,stir_fry,47.9,19.4,1.06,0.38,2.93,260.8,0.0,11.65,12.6,0.58,91.9
cabbage_bell_pepper_pork_ginger,206.4_318.0_422.6_288.2,stir_fry,1145.3,2481.1,62.47,213.0,78.56,7186.3,338.1,141.79,231.6,13.85,2350.0
shrimp,359.2,stir_fry,331.6,332.3,60.34,6.29,8.6,2524.3,657.3,0.0,128.2,3.53,692.3
fish_tomato,389.6_267.6,steam,648.5,185.3,7.13,1.27,36.32,669.1,0.0,230.39,62.6,3.0,1326.6
cauliflower,459.9,stir_fry,397.4,160.2,8.7,3.22,24.11,1977.8,0.0,102.51,103.7,4.96,764.7
carrot_cucumber,428.4_153.1,steam,555.2,199.9,5.35,1.13,42.09,1194.1,0.0,31.89,171.7,5.13,865.9
garlic_ginger_tomato,342.5_276.9_363.6,stir_fry,872.8,735.5,20.11,10.76,139.55,3501.0,0.0,36.78,247.3,9.59,2067.1
lemon,129.0,boil,133.2,49.8,1.26,1.44,7.95,80.6,0.0,12.2,124.2,0.98,185.9
pepper,457.9,steam,421.1,1735.2,66.84,54.54,244.26,617.8,0.0,0.0,54.8,27.48,4550.0
tomato_cucumber,357.4_203.9,stir_fry,516.0,149.6,4.36,3.93,24.22,3255.6,0.0,32.58,84.5,2.41,698.9
fish_pineapple_kumquat,52.8_387.5_174.2,boil,668.3,296.2,3.85,0.8,68.41,484.2,0.0,76.87,140.2,4.18,591.6
tomato_pepper_bell_pepper_carrot,127.0_94.1_69.4_134.5,roast,318.1,560.5,16.52,23.17,71.46,1266.6,0.0,28.5,74.2,7.8,1388.7
potato,197.4,stir_fry,176.0,164.8,3.52,1.38,34.56,1109.7,0.0,17.23,16.1,1.58,600.3
pineapple,450.7,braise,435.3,256.0,1.99,1.58,58.45,2918.8,0.0,22.22,54.2,2.68,397.1
egg,106.5,stir_fry,97.0,203.0,13.18,14.94,3.97,731.5,623.0,0.0,59.9,2.16,140.8
onion_tofu,342.4_71.8,deep_fry,311.4,271.5,8.82,11.69,32.75,774.9,0.0,4.18,196.5,3.4,453.8
apple_watermelon_strawberry,459.1_392.3_225.8,boil,1215.3,432.6,5.0,1.72,99.29,1097.0,0.0,60.46,84.7,7.57,789.8
egg,369.2,stir_fry,319.2,677.7,44.2,49.73,13.32,2697.2,2159.8,0.0,205.8,7.25,493.6
apple_pineapple_kiwi_orange,370.0_79.3_490.8_286.4,braise,1153.4,965.0,6.28,15.18,200.82,9727.8,0.0,122.38,252.3,8.99,1370.7
tofu_onion_cabbage_cauliflower,279.9_255.9_328.7_179.7,deep_fry,818.7,718.2,30.9,41.6,55.05,1925.7,0.0,42.89,708.8,10.68,1194.3
shrimp_orange_grape,409.7_410.4_353.2,boil,1211.0,661.4,69.75,3.31,88.16,1293.8,749.8,86.02,284.9,6.01,1285.3
egg_ginger,403.0_128.0,steam,485.2,633.9,52.42,36.32,24.35,1150.0,2357.6,2.71,258.7,9.76,880.4
shrimp_bell_pepper_carrot_garlic,431.5_355.0_147.0_334.0,stir_fry,1156.2,1039.4,89.33,13.4,140.37,7198.3,789.6,133.51,360.0,11.79,2808.8
kiwi,247.9,boil,279.2,158.3,1.77,1.4,34.66,260.9,0.0,55.86,63.8,2.84,243.4
onion_potato_egg_shrimp,362.7_308.1_268.7_282.1,steam,1169.6,1003.9,93.28,26.2,98.75,1886.3,2088.1,59.55,358.2,12.93,2464.4
tofu_pepper_chicken,410.8_495.8_270.4,steam,1145.0,2619.4,155.06,98.73,277.64,1511.2,286.6,0.0,758.8,41.46,5763.9
ginger_tofu,398.3_213.8,stir_fry,567.3,625.6,21.19,36.05,54.09,2933.5,0.0,6.08,450.3,9.55,1211.2
lemon_beef,283.9_114.9,boil,443.8,237.5,22.9,7.67,19.2,319.6,96.5,25.88,301.0,5.68,588.7
eggplant,492.2,boil,514.2,122.1,4.91,0.94,23.49,317.7,0.0,10.8,113.3,2.33,507.4
garlic_tofu,412.8_399.1,roast,609.5,1081.7,45.68,40.17,134.38,2092.8,0.0,7.91,828.8,12.49,1442.7
beef_pepper_fish,95.5_151.4_368.9,stir_fry,577.2,1140.4,43.07,59.38,108.42,2392.3,80.2,124.15,72.6,13.98,2371.0
tofu_peach_bell_pepper,59.9_331.5_205.1,boil,676.5,282.8,9.51,2.85,54.77,403.5,0.0,99.98,131.1,4.57,863.3
shrimp_ginger,448.2_374.2,stir_fry,719.6,657.0,78.1,15.7,50.82,5363.5,820.2,5.37,258.1,9.87,1850.8
cabbage,474.0,steam,437.4,122.8,6.87,0.95,21.7,856.3,0.0,103.47,229.0,2.87,509.9
chicken_onion,140.4_341.1,braise,469.1,525.0,28.52,24.5,47.62,4089.6,148.8,7.78,94.4,3.98,715.6
pork_eggplant_peach,329.8_435.2_268.9,boil,1088.5,1493.4,46.09,118.74,60.07,766.4,263.8,15.76,132.1,9.04,1206.4
onion_shrimp,314.1_209.7,boil,590.3,286.7,37.53,1.57,30.6,597.6,383.8,9.5,141.2,3.79,640.4
garlic,350.7,roast,266.7,466.1,14.6,2.45,96.39,867.2,0.0,6.31,134.5,4.16,868.4
potato,127.9,stir_fry,112.2,107.6,2.39,0.9,22.5,558.4,0.0,11.05,10.4,1.04,377.0
cauliflower,90.9,steam,90.8,25.8,1.84,0.18,4.21,119.6,0.0,26.24,21.2,1.0,162.4
cauliflower,365.1,stir_fry,321.2,128.9,6.94,2.56,19.54,1522.7,0.0,84.55,82.3,3.98,591.8
tofu_chicken_peach_onion,176.1_315.2_398.6_226.6,boil,1182.5,921.5,73.39,34.31,79.8,850.2,334.1,18.95,381.3,11.77,1341.0
cauliflower,75.6,boil,82.1,20.7,1.45,0.15,3.39,59.8,0.0,19.71,16.4,0.77,103.4
ginger,322.8,stir_fry,302.0,215.8,3.82,6.78,34.87,1546.6,0.0,4.11,85.9,4.58,820.0
tofu_shrimp_tomato_apple,143.9_403.6_382.0_118.7,boil,1101.3,561.1,80.16,7.8,42.56,1118.8,738.6,29.35,392.3,8.62,1271.0
shrimp_egg,473.1_446.4,roast,700.5,1274.5,134.58,68.73,29.39,4888.6,3477.2,0.0,419.9,13.51,1457.8
beef,283.1,pan_fry,242.3,559.3,51.22,37.02,5.29,1603.1,237.8,0.0,65.8,9.35,519.6
orange_carrot,138.8_362.3,stir_fry,469.0,254.0,4.21,3.51,51.39,2801.5,0.0,28.78,165.2,3.92,756.1
pork,61.9,stir_fry,55.0,252.0,7.6,23.76,1.94,250.2,49.5,0.0,3.7,0.99,110.5
bell_pepper,251.6,steam,245.9,81.0,3.16,0.51,15.95,392.9,0.0,121.07,22.6,1.24,628.7
pineapple_kiwi_cucumber_apple,447.0_83.6_319.8_100.0,roast,728.7,437.3,5.11,6.26,90.12,3081.3,0.0,40.39,159.8,5.77,909.4
cabbage_watermelon_peach,417.9_173.9_76.2,stir_fry,586.0,238.7,7.47,3.8,43.67,3457.3,0.0,59.46,219.1,3.58,676.3
cucumber,479.3,stir_fry,443.8,112.3,3.49,3.36,17.03,1665.4,0.0,15.81,115.1,2.38,415.8
eggplant_shrimp_beef,318.9_118.9_467.0,steam,891.5,729.5,110.27,19.94,27.25,1562.9,609.9,7.95,227.9,18.01,1556.0
peach_cauliflower,444.9_174.4,boil,665.4,280.4,7.02,0.74,61.41,651.3,0.0,51.24,64.4,5.19,784.5
cabbage,396.9,steam,380.0,103.1,5.65,0.77,18.4,670.5,0.0,75.35,197.2,2.37,430.1
peach,280.4,boil,300.2,143.7,2.28,0.26,33.06,177.2,0.0,8.46,15.8,2.12,312.3
peach,92.2,steam,88.5,48.6,0.77,0.09,11.19,81.8,0.0,3.42,5.5,0.73,134.1
cucumber_pepper_cauliflower,431.1_237.3_184.3,steam,811.0,1001.2,40.43,28.68,145.35,795.2,0.0,75.91,173.9,18.5,3182.3
tofu_pork,183.3_435.5,boil,698.4,1786.9,65.35,161.58,17.83,689.8,348.4,0.0,314.6,9.8,763.3
small_pepper,356.3,stir_fry,330.9,197.8,4.36,4.99,33.86,1712.4,0.0,170.36,131.3,4.91,670.5
fish_eggplant,249.7_130.5,roast,288.3,140.1,4.37,2.66,24.67,1175.4,0.0,60.12,54.0,1.9,762.4
cabbage_strawberry_potato,434.8_110.7_333.7,stir_fry,799.2,460.5,13.29,6.15,87.98,4600.8,0.0,104.49,264.1,7.31,1549.4
cauliflower_garlic,288.5_119.3,boil,458.3,231.2,10.53,0.76,45.58,367.2,0.0,70.3,107.0,4.36,668.9
shrimp,188.0,boil,210.2,145.2,31.42,0.89,2.89,350.7,344.0,0.0,62.0,1.77,273.3
shrimp_garlic_apple,366.9_89.0_479.7,boil,990.3,671.8,66.82,2.8,94.82,1253.0,671.4,10.56,176.1,7.38,1118.5
egg_cauliflower_fish_bell_pepper,251.9_286.6_313.8_340.0,steam,1099.2,646.4,46.86,22.96,63.09,2238.6,1473.6,408.66,269.3,11.26,2519.4
tomato,457.0,stir_fry,389.7,129.3,3.74,3.2,21.38,1714.6,0.0,32.87,45.3,1.85,648.2
bell_pepper_beef,127.4_94.9,braise,213.3,226.7,18.25,9.38,17.32,1596.8,79.7,36.19,33.7,3.73,469.3
lemon,492.3,boil,528.2,187.6,4.83,5.48,29.75,470.2,0.0,44.89,479.0,3.79,720.6
cucumber,176.6,stir_fry,155.7,43.8,1.34,1.24,6.83,775.1,0.0,5.07,41.9,0.88,157.4
cucumber,256.2,roast,192.2,62.2,1.85,1.79,9.68,689.7,0.0,5.89,61.4,1.27,215.9
cauliflower,126.4,stir_fry,112.0,45.2,2.4,0.88,6.91,474.6,0.0,26.7,28.9,1.41,206.1
potato_carrot,292.1_383.8,stir_fry,635.7,433.2,9.09,4.73,88.57,2923.8,0.0,46.03,147.8,6.2,1416.9
cabbage_eggplant,189.7_237.6,pan_fry,348.8,124.6,5.1,2.99,19.33,1387.1,0.0,26.01,151.1,2.32,487.5
tofu_cauliflower_eggplant,329.2_116.2_485.2,roast,698.0,657.7,32.26,36.84,49.28,3789.7,0.0,25.04,690.0,9.78,1092.3
cucumber,231.0,roast,179.0,56.9,1.68,1.62,8.91,805.8,0.0,5.3,55.8,1.15,201.7
ginger,406.7,stir_fry,366.8,267.4,4.77,8.54,42.87,2133.9,0.0,5.73,110.4,5.6,1053.9
cabbage,223.9,stir_fry,207.7,73.7,3.16,1.57,11.75,1165.4,0.0,28.64,109.1,1.34,236.3
shrimp_cucumber,347.9_274.8,boil,671.5,305.3,58.23,2.17,13.2,810.8,636.7,9.37,174.8,4.52,735.4
pork_pepper_carrot,140.5_58.9_264.7,steam,461.5,878.5,27.89,59.59,57.67,880.0,112.4,16.32,100.0,8.41,1319.2
potato_shrimp_pork,415.2_67.8_309.1,stir_fry,688.4,1860.6,57.89,143.33,84.77,4182.9,371.4,36.89,74.8,8.96,1856.5
garlic,198.3,steam,185.6,259.6,8.55,0.39,55.47,220.3,0.0,7.33,76.6,2.38,516.1
egg_chicken,146.7_110.7,boil,269.8,369.4,37.39,22.0,5.47,471.3,975.5,0.0,86.0,4.34,346.7
egg_bell_pepper_cabbage,461.3_446.0_488.9,steam,1346.7,919.3,72.72,41.21,64.37,2265.5,2698.6,307.43,544.3,14.31,2297.8
shrimp_chicken,468.8_218.8,boil,754.0,705.9,118.6,21.17,10.23,1203.2,1089.8,0.0,175.4,7.4,1139.7
tofu,220.2,stir_fry,205.4,299.3,16.9,21.08,10.48,1280.4,0.0,0.0,367.1,4.13,226.4
fish_tofu_grape_cauliflower,258.2_254.7_183.7_382.2,steam,993.6,480.5,31.52,10.83,64.24,1386.3,0.0,250.54,527.8,11.02,1848.8
orange_garlic,462.9_191.8,boil,713.5,481.5,10.71,1.24,106.89,638.6,0.0,58.86,221.8,3.01,915.9
eggplant_strawberry_onion_kumquat,267.0_105.4_345.6_160.2,boil,940.5,338.3,8.64,1.71,72.09,829.2,0.0,61.75,241.1,6.66,909.8
tomato_shrimp,127.4_410.3,boil,586.9,343.8,69.65,2.21,11.31,898.6,750.8,10.19,150.7,4.36,746.7
pepper,92.8,stir_fry,80.7,384.5,12.83,15.48,48.46,346.0,0.0,0.0,11.0,5.6,829.2
shrimp_chicken,270.0_88.3,stir_fry,321.0,577.4,60.62,33.09,9.27,2096.5,587.7,0.0,101.4,3.92,670.4
pork,309.4,pan_fry,258.9,1223.9,37.59,116.13,7.08,1728.2,247.5,0.0,18.9,4.95,525.8
eggplant_pork,284.6_224.8,braise,471.8,1063.0,30.07,89.72,33.83,3443.5,179.8,4.68,80.4,4.95,666.3
small_pepper_pineapple,385.3_141.3,roast,392.8,279.7,5.38,5.89,51.3,2156.9,0.0,153.13,159.4,6.31,830.1
fish,85.7,roast,64.6,34.0,1.05,0.6,6.11,321.8,0.0,24.16,7.7,0.43,195.1
tofu_ginger,144.0_113.5,steam,253.8,174.5,12.62,6.02,17.48,324.0,0.0,2.17,271.0,4.38,454.3
pork,332.5,steam,304.8,1267.2,40.76,119.15,7.96,531.6,266.0,0.0,19.6,5.33,605.6
cauliflower_shrimp_potato_egg,358.2_412.2_296.9_127.6,stir_fry,1050.4,1202.7,98.54,51.1,87.16,4777.2,1500.8,111.73,317.6,13.2,2365.6
cucumber,111.8,roast,83.8,26.2,0.83,0.78,3.96,442.8,0.0,2.4,27.1,0.56,96.3
kumquat,419.1,steam,380.0,252.6,3.96,0.84,57.3,545.6,0.0,74.38,235.1,4.25,524.5
eggplant,182.6,stir_fry,163.1,60.4,1.9,1.28,10.33,1101.4,0.0,3.12,43.6,0.91,215.5
beef_pineapple_kiwi_grape,444.5_118.4_343.0_317.0,steam,1197.0,958.6,88.27,21.01,104.1,2134.6,373.4,169.95,220.5,21.17,1713.0
pineapple_bell_pepper,388.7_476.0,steam,837.1,327.6,7.74,1.35,71.13,977.0,0.0,309.27,88.7,4.74,1580.5
tomato_egg,276.3_146.5,steam,395.6,263.6,20.81,13.39,14.96,777.6,857.0,27.84,108.4,3.99,578.0
ginger_onion_eggplant,358.6_406.9_227.3,stir_fry,926.7,517.4,10.75,11.97,91.66,4348.9,0.0,21.1,252.2,8.64,1743.1
apple_cauliflower,62.8_409.2,steam,450.2,153.4,8.41,0.94,27.84,828.8,0.0,120.45,97.6,4.9,806.2
cauliflower_fish_tofu,359.3_294.9_69.3,stir_fry,649.7,361.4,15.46,13.55,44.4,4501.2,0.0,187.22,221.6,6.67,1433.3
bell_pepper_fish,137.3_59.3,boil,216.9,62.3,2.28,0.36,12.47,164.3,0.0,73.7,16.9,0.94,392.9
chicken_shrimp,376.5_310.0,steam,678.6,864.8,125.2,36.0,9.98,1658.7,966.4,0.0,139.9,8.26,1467.5
grape_apple_watermelon,454.2_168.9_246.5,steam,807.6,360.6,3.81,1.45,83.06,871.4,0.0,62.5,48.8,3.63,815.9
potato,467.5,stir_fry,400.4,388.3,8.64,3.27,81.07,2732.1,0.0,43.24,37.0,3.75,1351.6
small_pepper,135.7,boil,148.3,59.2,1.59,0.53,12.02,96.6,0.0,78.68,47.3,1.79,212.2
cucumber_beef_cauliflower,471.8_259.5_233.1,pan_fry,822.8,723.4,55.33,43.08,28.6,4385.2,218.0,51.72,223.1,13.7,1339.8
ginger_onion_cucumber,368.3_340.6_116.2,stir_fry,713.2,446.4,8.92,10.93,78.09,3795.7,0.0,18.62,205.5,7.66,1430.9
onion_bell_pepper_cucumber,179.9_58.1_291.7,steam,509.3,142.6,4.8,1.03,28.54,728.8,0.0,47.95,120.1,2.79,620.9
fish_pork_garlic_pepper,183.7_79.7_60.8_68.1,steam,391.3,688.8,24.63,36.37,65.73,465.0,63.8,98.31,53.3,7.15,1492.6
beef_egg,339.0_468.8,stir_fry,746.2,1460.9,120.6,96.66,27.14,3786.9,3027.2,0.0,339.6,20.32,1219.8
fish,163.9,stir_fry,152.1,63.8,1.93,1.15,11.44,949.8,0.0,55.79,14.5,0.81,398.9
cabbage,466.4,stir_fry,416.8,155.6,6.48,3.26,25.08,2060.5,0.0,60.25,229.5,2.84,469.6
tomato_beef_pepper_tofu,456.8_144.1_79.9_433.8,steam,1011.9,921.9,76.6,32.63,80.46,1809.8,121.0,47.57,793.6,19.9,2112.0
banana,187.4,steam,171.8,180.4,2.43,0.37,41.82,274.5,0.0,8.11,13.1,0.76,431.8
shrimp_watermelon_kumquat_onion,181.2_409.6_109.8_205.8,steam,833.8,408.0,36.84,1.94,60.77,1344.1,331.6,39.93,204.9,5.34,1081.5
beef_garlic_shrimp,332.3_70.8_160.2,stir_fry,485.1,865.5,93.06,40.74,31.66,3704.1,572.3,1.82,157.8,13.33,1105.2
apple,166.3,boil,171.5,90.9,0.3,0.32,21.7,156.6,0.0,2.61,6.2,0.93,140.4
pepper,342.0,stir_fry,312.0,1405.3,47.33,57.12,175.48,1194.0,0.0,0.0,41.6,20.89,3244.3
cabbage,208.6,steam,191.4,54.4,2.97,0.4,9.74,345.0,0.0,45.57,103.8,1.26,235.2
pork,95.4,stir_fry,88.3,384.8,11.44,36.24,3.23,609.7,76.3,0.0,5.8,1.51,173.2
tomato,243.9,roast,183.7,69.8,2.01,1.71,11.61,595.1,0.0,10.57,24.4,0.98,353.3
tomato_small_pepper_onion,104.1_297.9_372.8,boil,849.7,306.0,7.9,2.07,63.94,796.6,0.0,207.26,201.7,6.46,988.5
chicken,230.7,roast,178.2,426.9,41.69,26.44,5.56,978.5,244.5,0.0,21.1,3.18,508.4
egg_tofu,116.3_353.8,stir_fry,407.9,713.0,39.56,51.67,22.44,1949.9,680.4,0.0,652.1,9.08,541.0
cabbage_beef,352.6_166.4,stir_fry,466.8,476.8,35.24,26.93,23.37,3061.4,139.8,54.23,215.1,7.59,685.3
tomato,396.6,braise,373.6,147.7,3.25,2.78,27.43,3849.0,0.0,24.79,40.1,1.6,493.9
garlic,352.3,stir_fry,329.3,473.7,14.83,2.47,98.04,2207.6,0.0,8.19,138.7,4.25,889.4
cucumber,438.8,stir_fry,408.4,103.8,3.21,3.07,15.83,1855.7,0.0,13.44,106.5,2.17,393.4
tomato,462.0,boil,492.9,95.0,3.66,0.9,18.08,318.7,0.0,31.8,44.0,1.73,505.4
tofu_ginger,229.3_452.1,steam,663.0,411.4,23.45,10.68,55.37,805.0,0.0,9.91,506.4,10.75,1429.5
cabbage,418.1,stir_fry,385.6,140.1,5.92,2.93,22.53,1657.6,0.0,61.1,202.4,2.54,432.8
chicken_eggplant,55.7_200.2,roast,191.7,216.0,11.63,13.11,12.89,906.5,59.0,2.43,53.1,1.75,370.8
egg_carrot_cabbage_beef,361.7_396.4_69.7_456.8,stir_fry,1132.7,2021.8,134.31,136.16,64.78,8882.4,2499.7,30.39,466.1,26.24,2105.2
small_pepper_tomato,371.9_270.7,stir_fry,598.2,277.9,6.69,7.1,46.8,2438.2,0.0,189.21,163.2,6.28,1129.9
bell_pepper_egg_onion_cucumber,53.8_86.3_326.7_454.7,boil,1045.6,339.9,17.93,8.78,47.28,940.6,504.9,51.79,231.9,5.88,874.4
egg_onion,457.1_216.6,steam,657.4,733.8,60.15,40.29,32.63,1545.8,2674.0,8.21,310.1,10.26,938.1
bell_pepper_fish_potato,52.1_79.1_468.4,steam,543.5,405.0,10.35,1.19,88.21,859.0,0.0,131.55,50.2,4.33,1802.2
cabbage,211.0,steam,200.8,54.3,2.92,0.4,9.76,285.9,0.0,38.04,104.0,1.26,231.6
eggplant,120.3,stir_fry,106.0,40.2,1.25,0.84,6.9,450.7,0.0,2.3,29.1,0.6,146.5
ginger_eggplant_small_pepper,259.4_261.5_220.9,steam,733.0,302.4,8.65,2.97,60.27,1154.0,0.0,176.25,217.5,7.98,1393.8
tomato_garlic,402.8_315.9,steam,662.7,489.9,17.03,1.45,102.2,1029.7,0.0,52.75,161.5,5.41,1434.1
egg_ginger,326.1_471.1,stir_fry,718.5,1178.3,44.37,82.32,65.0,3993.0,1907.7,7.24,314.1,13.09,1641.5
carrot_ginger_tomato,487.0_437.2_179.7,deep_fry,869.8,530.6,10.68,13.85,90.82,2831.3,0.0,15.61,294.3,11.71,1995.9
tomato,139.3,stir_fry,129.7,39.4,1.18,0.98,6.49,832.7,0.0,10.17,13.8,0.56,187.9
small_pepper,496.6,stir_fry,461.0,276.1,5.94,6.95,47.45,2309.1,0.0,242.23,184.1,6.92,912.7
fish_tofu,270.4_119.8,roast,313.9,306.8,12.29,17.41,25.24,1335.2,0.0,75.97,225.1,3.66,754.0
beef,278.6,steam,263.5,340.7,54.2,11.28,5.59,609.3,234.0,0.0,65.0,9.24,523.9
beef,174.5,stir_fry,158.1,293.5,31.55,16.2,5.36,811.7,146.6,0.0,40.9,5.8,323.5
potato,454.1,stir_fry,433.5,375.1,8.3,3.18,78.34,2648.6,0.0,40.77,35.9,3.62,1333.6
pork,115.0,stir_fry,108.8,464.9,13.74,43.91,3.69,741.2,92.0,0.0,7.0,1.81,206.8
egg,58.9,pan_fry,50.2,122.1,7.16,9.7,1.56,371.3,344.6,0.0,33.2,1.18,79.7
lemon_grape_egg_peach,484.2_309.7_187.1_315.3,roast,968.4,1096.9,30.88,58.61,111.49,4673.8,1094.5,48.16,628.5,11.32,1881.7
eggplant_small_pepper,205.2_335.1,boil,602.4,194.1,5.85,1.67,38.91,514.4,0.0,193.9,165.4,5.52,759.7
eggplant_tomato,207.5_370.1,stir_fry,508.5,172.0,5.16,4.04,28.74,2291.2,0.0,27.31,86.0,2.51,761.3
shrimp_ginger_potato_fish,430.7_438.4_201.5_487.9,boil,1767.4,840.8,83.26,5.97,113.5,2040.4,788.2,237.58,311.0,13.66,3053.0
egg,447.9,stir_fry,393.4,838.3,53.7,61.88,16.65,3032.5,2620.2,0.0,255.0,8.85,595.4
pineapple_kumquat_lemon_peach,152.2_307.6_490.2_140.6,steam,1058.8,519.0,9.97,6.69,104.73,1536.5,0.0,131.52,701.6,9.08,1689.7
tofu_beef,319.5_344.5,steam,659.8,676.8,90.94,25.63,20.57,1204.0,289.4,0.0,608.8,17.23,1066.5
fish,387.2,stir_fry,341.7,149.9,4.57,2.71,26.81,1543.9,0.0,154.45,35.2,1.91,934.0
beef,344.6,roast,268.2,497.5,61.29,23.96,9.17,1229.4,289.5,0.0,78.9,11.31,646.9
cauliflower_kumquat_carrot,93.2_284.6_102.3,steam,446.4,237.1,5.49,0.92,51.71,777.0,0.0,88.08,217.5,4.87,711.9
egg,432.2,braise,428.3,753.0,51.23,48.89,27.02,3251.9,2528.4,0.0,243.4,8.75,542.4
cauliflower_onion_ginger_lemon,108.6_341.2_90.2_273.4,boil,860.8,323.6,9.26,4.57,61.37,540.2,0.0,57.29,393.2,6.31,1113.5
onion,432.8,braise,418.8,247.9,4.33,3.03,50.83,2944.7,0.0,10.56,105.6,2.63,506.1
egg,411.1,stir_fry,375.1,793.3,49.34,59.64,14.79,2899.3,2404.9,0.0,229.9,8.15,539.8
