ingredients,raw_weights_g,cooking_method,cooked_weight_g,cooked_energy_kcal,cooked_protein_g,cooked_fat_g,cooked_carbohydrate_g,cooked_sodium_mg,cooked_cholesterol_mg,cooked_vitamin_c_mg,cooked_calcium_mg,cooked_iron_mg,cooked_potassium_mg
beef_pork_cucumber,357.7_268.0_469.7,steam,1019.8,1526.0,105.35,110.79,26.89,1871.7,514.9,20.56,212.1,18.5,1634.5
garlic,469.6,boil,527.5,591.1,18.63,0.91,127.1,441.9,0.0,13.9,171.9,5.33,1029.0
grape,438.1,boil,494.5,193.6,1.98,0.82,44.58,443.6,0.0,45.52,21.1,1.67,317.8
ginger_bell_pepper,238.8_66.1,stir_fry,264.1,186.9,3.61,5.48,30.8,1195.0,0.0,29.74,71.0,3.66,789.6
watermelon_kiwi_pepper_cabbage,126.9_202.0_382.1_399.3,boil,1153.6,1647.5,58.04,44.68,253.32,947.2,0.0,106.32,292.1,26.63,3688.7
pork,288.5,roast,230.0,1079.3,34.06,100.38,9.92,1042.6,230.8,0.0,17.3,4.57,494.9
pork_potato_egg,110.6_148.6_301.5,stir_fry,490.1,1193.3,52.5,90.91,41.28,3304.1,1852.3,14.93,189.8,8.87,1036.2
egg,444.9,stir_fry,388.9,855.6,53.12,64.45,15.75,3163.5,2602.7,0.0,245.3,9.08,585.5
egg_eggplant_fish,459.6_302.7_283.2,steam,994.9,824.9,66.57,41.41,46.48,1646.2,2688.7,145.38,353.1,12.04,1729.9
pepper,469.0,roast,372.6,1785.2,64.24,64.47,237.0,1126.8,0.0,0.0,57.1,27.68,4499.1
cauliflower,392.0,stir_fry,361.2,135.1,7.45,2.74,20.15,1444.6,0.0,77.64,89.2,4.31,675.6
cabbage_beef_garlic,54.0_323.1_362.5,pan_fry,624.2,1163.4,74.6,50.41,102.83,4028.0,271.4,15.08,245.7,15.63,1606.7
cabbage_tofu_ginger,477.0_456.0_287.4,stir_fry,1064.1,1108.9,45.19,68.43,78.07,5212.8,0.0,67.9,1078.0,15.8,1725.4
carrot_beef,170.3_65.4,roast,180.0,217.4,13.69,10.14,17.83,1090.4,54.9,5.61,68.2,3.9,394.6
grape_potato_cucumber_chicken,382.3_259.2_179.0_119.7,boil,975.8,584.9,28.82,12.09,90.22,758.0,126.9,74.29,89.7,5.95,1230.5
bell_pepper,388.1,stir_fry,355.2,151.5,4.73,2.72,27.03,1938.8,0.0,135.1,35.4,1.94,952.7
cucumber_onion_pepper_kiwi,464.1_277.6_380.7_206.5,boil,1445.4,1706.8,59.28,46.5,262.8,1341.9,0.0,80.98,260.3,27.87,3704.7
pork_carrot_chicken,296.4_327.6_400.8,stir_fry,916.9,2362.8,110.19,192.47,47.46,4740.0,662.0,15.29,161.3,13.47,1833.0
beef_bell_pepper_pork,140.0_387.8_460.9,steam,941.9,2106.6,90.2,176.97,38.27,1653.4,486.3,190.1,96.4,14.07,2020.9
tofu_egg,426.9_357.2,steam,766.8,845.2,76.83,47.56,27.47,1380.9,2089.6,0.0,909.3,15.19,954.7
bell_pepper_shrimp,143.9_251.7,boil,419.3,239.4,43.43,1.48,13.09,685.1,460.6,55.88,95.6,3.04,648.6
cucumber_onion_cabbage,357.5_446.4_87.0,stir_fry,831.1,325.8,8.21,6.24,59.21,3397.1,0.0,39.31,239.5,4.99,967.5
fish,146.8,stir_fry,133.9,58.4,1.73,1.03,10.57,593.3,0.0,54.76,13.4,0.74,358.0
pepper,170.4,steam,154.4,631.1,23.63,20.32,88.43,220.3,0.0,0.0,20.5,10.42,1661.5
egg_tomato,418.7_342.8,stir_fry,653.3,1019.2,55.54,73.72,33.4,4763.1,2449.4,23.73,274.0,9.67,1070.3
shrimp_pork_lemon_egg,56.1_383.1_256.0_116.0,boil,915.2,1721.9,72.27,146.27,29.11,879.1,1087.7,23.83,345.3,10.57,1078.3
eggplant,246.1,deep_fry,190.1,71.4,2.43,1.72,11.55,513.8,0.0,1.89,59.4,1.21,270.2
shrimp_fish_pineapple_egg,202.0_438.5_123.6_191.7,deep_fry,718.3,1034.6,61.72,66.08,48.26,2149.1,1491.1,70.04,232.3,8.71,1677.2
fish_garlic_carrot,321.3_145.1_409.1,stir_fry,784.6,507.7,13.72,6.13,99.42,5396.0,0.0,148.11,213.5,7.56,1805.7
shrimp_tofu,391.5_422.8,stir_fry,751.5,1047.7,97.18,58.82,32.42,4403.3,716.4,0.0,845.6,11.87,1126.8
beef,209.8,steam,209.6,247.8,38.51,8.6,4.11,495.4,176.2,0.0,48.3,6.92,404.2
ginger_cabbage_carrot_pork,228.4_182.5_326.2_167.7,steam,852.5,956.7,29.95,63.86,65.53,1396.1,134.2,68.26,268.4,10.2,1701.3
cauliflower,380.9,boil,412.3,104.8,7.08,0.73,17.46,472.4,0.0,93.26,84.3,4.02,528.4
tomato,387.7,stir_fry,338.3,109.5,3.16,2.71,18.11,1878.3,0.0,25.37,39.5,1.55,536.6
onion_cabbage,424.3_168.3,stir_fry,530.5,255.8,6.56,4.15,48.05,2230.6,0.0,37.15,180.8,3.58,681.6
pork_beef_onion_ginger,451.3_217.8_384.4_421.3,stir_fry,1384.7,3196.5,104.64,263.43,101.78,5555.9,544.0,17.49,287.0,22.42,2669.6
bell_pepper,64.8,steam,61.7,20.8,0.78,0.12,4.15,93.7,0.0,30.85,5.8,0.32,165.2
chicken_cucumber,298.7_104.2,stir_fry,373.1,664.8,52.79,45.67,10.64,2071.8,316.6,3.46,51.5,4.68,753.3
cabbage_garlic_egg,334.6_178.0_149.5,steam,659.9,527.6,31.07,13.85,69.67,953.7,874.6,75.95,317.8,7.02,1077.9
ginger_small_pepper_chicken,225.3_450.9_291.2,roast,722.1,1040.6,59.98,56.1,73.95,4085.2,308.7,152.81,255.4,13.34,1969.0
bell_pepper_small_pepper_tofu,112.1_228.9_414.6,stir_fry,663.0,815.2,35.23,53.04,49.21,4362.3,0.0,167.99,778.2,11.59,1112.1
banana_watermelon_bell_pepper_pineapple,91.4_269.6_251.1_150.3,boil,830.1,305.0,6.3,1.03,67.64,730.4,0.0,113.14,65.4,3.13,980.3
fish_tofu,63.9_180.0,steam,232.0,165.9,14.43,6.77,11.81,256.5,0.0,31.1,296.4,3.8,370.7
grape_watermelon_strawberry_pineapple,473.1_473.6_319.3_207.2,stir_fry,1380.3,627.4,8.82,7.93,130.19,6648.6,0.0,108.3,145.0,10.36,1382.5
onion_egg,358.8_419.4,roast,613.0,881.7,55.08,51.79,48.82,3375.7,2453.5,6.51,315.9,10.63,1023.2
bell_pepper,222.8,steam,213.0,72.5,2.81,0.43,14.32,262.2,0.0,108.38,20.3,1.12,583.4
onion_cabbage,387.8_382.4,deep_fry,628.2,282.3,8.83,5.39,49.61,2436.3,0.0,28.4,278.7,4.71,875.2
pork,337.9,boil,348.8,1239.6,40.22,116.38,7.83,359.3,270.3,0.0,19.1,5.15,491.5
ginger_shrimp_cauliflower_eggplant,428.1_95.1_127.0_159.6,stir_fry,705.6,470.4,24.81,12.66,64.3,3439.1,174.0,34.88,220.1,9.0,1594.7
ginger,178.7,stir_fry,166.2,118.2,2.18,3.75,18.94,627.5,0.0,2.57,47.9,2.52,458.6
kiwi_beef,260.9_146.8,boil,441.2,341.0,28.08,7.37,40.59,438.8,123.3,63.31,98.9,7.58,463.2
ginger_cucumber_potato,338.2_424.6_59.5,stir_fry,748.2,372.8,8.09,10.49,61.51,4027.3,0.0,22.2,199.8,7.27,1416.4
carrot,305.7,boil,329.4,121.7,2.68,0.59,26.42,425.1,0.0,16.32,93.4,2.85,426.1
lemon_cucumber,338.0_113.9,roast,335.7,266.9,4.33,14.99,28.66,1182.2,0.0,21.93,363.6,3.25,709.4
beef_potato_tomato,122.2_145.1_99.4,stir_fry,337.0,413.3,25.88,19.67,33.19,2242.7,102.6,19.34,48.7,5.49,758.7
shrimp_eggplant,491.9_235.5,pan_fry,631.4,505.5,84.64,10.26,18.66,4092.6,900.2,3.6,226.7,6.09,1145.0
carrot_tofu,72.6_362.9,boil,482.7,307.6,26.98,12.83,21.05,451.5,0.0,3.57,581.2,7.31,405.5
carrot_small_pepper,154.4_199.7,braise,338.7,212.3,3.73,3.88,40.62,3697.0,0.0,100.47,124.3,4.35,572.3
cauliflower,83.0,pan_fry,72.5,26.1,1.64,0.58,3.59,367.2,0.0,14.26,19.2,0.92,140.7
bell_pepper,278.9,roast,217.4,110.8,3.41,1.95,19.9,978.4,0.0,77.74,25.4,1.4,627.1
small_pepper_cauliflower,329.8_477.0,stir_fry,721.6,352.2,13.06,7.96,57.09,2831.3,0.0,254.89,232.4,9.68,1385.3
potato_garlic,336.4_387.3,deep_fry,530.5,750.9,21.2,5.07,155.12,2228.3,0.0,16.92,178.5,7.31,1831.2
cabbage_bell_pepper,259.2_385.6,boil,705.6,186.5,8.0,1.21,35.9,462.5,0.0,202.35,154.5,3.37,1003.1
chicken_egg,461.5_265.4,pan_fry,646.8,1443.6,112.31,104.75,12.89,2726.3,2041.8,0.0,193.4,11.57,1287.9
bell_pepper_shrimp_cabbage_ginger,207.4_261.8_92.0_392.0,stir_fry,837.8,620.5,52.31,14.91,69.28,4123.9,479.1,102.41,264.8,9.75,1989.9
tomato,79.8,roast,59.7,23.6,0.65,0.56,3.99,259.4,0.0,4.11,7.9,0.32,114.6
apple_cucumber_tomato_watermelon,119.3_288.8_360.3_418.4,roast,938.9,385.8,7.86,6.84,73.18,2709.0,0.0,32.24,144.8,4.95,1132.8
garlic,407.1,deep_fry,302.6,510.7,16.57,2.85,104.71,854.6,0.0,4.09,159.7,4.81,1007.7
shrimp_cucumber,313.3_293.9,braise,557.5,394.5,53.28,7.54,28.37,4132.3,573.3,7.26,181.3,4.67,762.9
beef,480.9,boil,532.2,555.9,86.03,19.32,9.46,624.8,404.0,0.0,104.1,15.22,721.0
cauliflower_pork,197.4_388.7,braise,549.4,1659.2,50.2,145.83,36.47,3552.3,311.0,39.72,68.8,8.4,958.7
eggplant_chicken_cabbage,247.4_144.3_293.2,stir_fry,597.3,720.7,33.11,51.26,31.72,4058.7,153.0,46.87,219.3,4.96,908.5
egg,307.0,stir_fry,277.7,606.1,37.91,45.56,11.1,1866.1,1795.9,0.0,169.7,6.21,385.3
potato_onion_fish,376.5_167.2_461.9,steam,948.0,505.7,14.37,1.93,107.72,1023.3,0.0,278.69,111.0,6.23,2444.0
beef_shrimp,494.5_336.3,deep_fry,638.3,1354.5,147.25,78.58,14.59,3277.4,1030.8,0.0,229.5,19.79,1385.0
egg_carrot_strawberry,293.4_373.1_171.0,roast,640.7,860.2,41.91,50.63,59.22,3933.1,1716.4,29.51,314.1,12.51,1131.8
carrot_bell_pepper,288.7_426.8,stir_fry,658.3,301.5,7.7,5.01,56.4,3894.5,0.0,169.23,131.0,5.1,1537.3
tofu,131.9,stir_fry,123.7,178.6,9.81,12.54,6.62,614.0,0.0,0.0,219.6,2.51,138.7
onion_cucumber_chicken,78.7_51.7_262.3,braise,390.8,608.0,47.62,35.08,25.46,4077.9,278.0,3.13,55.8,4.46,660.9
pork,494.8,deep_fry,368.6,1985.4,57.19,190.16,11.29,1778.6,395.8,0.0,30.2,7.92,823.3
egg,355.6,steam,328.7,499.7,46.24,30.46,10.15,777.8,2080.3,0.0,201.6,7.17,472.6
banana_cauliflower,278.8_108.3,roast,302.3,321.7,5.84,2.71,68.48,1550.3,0.0,22.29,44.7,2.32,828.4
tomato,388.1,stir_fry,334.6,112.4,3.22,2.72,18.77,1752.6,0.0,23.59,38.5,1.58,529.5
banana,255.6,roast,205.4,251.4,3.25,1.79,55.56,868.5,0.0,4.8,17.7,1.02,561.4
tofu_carrot,68.2_215.0,stir_fry,261.6,217.1,7.18,10.34,23.83,1405.9,0.0,9.45,182.9,3.47,411.1
beef_tomato_tofu_pepper,344.9_198.7_191.1_416.8,pan_fry,963.2,2717.9,137.79,137.55,232.2,5128.8,289.7,10.94,459.3,41.43,5128.3
small_pepper_bell_pepper_tomato,274.1_373.5_167.0,steam,773.4,280.7,9.45,2.11,55.98,795.9,0.0,417.18,149.8,6.42,1749.6
pork,59.1,pan_fry,52.3,238.8,7.1,22.79,1.33,294.6,47.3,0.0,3.6,0.93,107.2
eggplant,104.2,boil,116.3,26.1,1.03,0.2,5.05,98.0,0.0,2.19,23.5,0.5,98.9
cauliflower,297.5,boil,311.6,82.2,5.78,0.56,13.52,345.6,0.0,76.95,65.3,3.07,436.9
egg_eggplant_cauliflower,434.5_427.3_102.0,stir_fry,886.1,1217.2,58.58,88.8,45.92,5325.1,2541.8,31.35,370.8,12.0,1281.1
cabbage_egg,349.0_375.5,stir_fry,686.8,1061.5,51.93,79.86,33.76,4094.8,2196.7,47.51,376.4,9.7,894.8
onion,482.4,steam,454.2,199.5,5.03,0.94,42.72,421.8,0.0,19.61,116.0,2.93,634.2
ginger,193.3,pan_fry,173.9,120.6,2.26,4.06,18.75,840.1,0.0,2.28,52.5,2.74,482.8
shrimp,122.0,boil,132.4,95.4,20.67,0.56,1.91,237.7,223.3,0.0,40.8,1.17,182.3
tofu_bell_pepper,146.3_352.4,deep_fry,372.8,360.1,14.8,21.41,27.04,1371.1,0.0,55.27,272.2,4.59,917.4
tomato_egg,296.5_145.2,pan_fry,388.8,561.2,19.67,46.79,15.37,2324.7,849.4,15.9,110.1,4.13,620.2
tofu_cucumber,475.7_349.3,roast,606.5,631.5,37.83,36.29,38.39,1925.2,0.0,7.7,864.3,10.83,784.1
onion_potato_carrot,246.8_394.1_476.3,deep_fry,878.2,628.5,13.79,7.82,125.74,2374.6,0.0,25.56,242.6,9.49,1989.5
bell_pepper,61.7,steam,56.3,19.9,0.76,0.12,3.94,89.1,0.0,29.47,5.5,0.31,149.6
potato,186.5,boil,203.2,141.4,3.32,0.36,31.21,161.2,0.0,20.31,14.3,1.44,444.7
pepper,308.5,steam,295.3,1141.7,42.9,36.65,160.07,330.1,0.0,0.0,36.4,18.19,3067.2
pork,379.6,stir_fry,352.6,1559.3,46.55,147.2,12.07,2151.5,303.7,0.0,22.8,6.04,639.8
strawberry_apple_watermelon,117.3_290.1_450.6,roast,641.4,372.4,4.11,4.43,79.02,2368.3,0.0,25.73,69.8,5.13,741.1
eggplant_cauliflower,86.8_356.4,steam,433.0,121.7,8.18,0.87,20.29,708.1,0.0,118.99,102.8,4.4,785.1
cauliflower,463.5,stir_fry,412.8,161.3,9.03,3.24,24.0,2634.9,0.0,98.75,108.6,5.03,779.3
chicken_cabbage,54.2_116.1,roast,129.9,165.0,11.01,10.04,7.64,577.2,57.5,10.63,61.1,1.48,228.1
egg,195.9,pan_fry,173.8,409.9,23.37,32.82,5.25,1152.7,1146.0,0.0,111.9,3.96,269.1
shrimp_tomato,345.4_262.8,steam,558.7,335.9,63.31,2.19,15.75,1306.7,632.1,22.7,149.6,4.52,1061.7
cucumber,303.7,pan_fry,259.0,61.2,2.19,2.13,8.31,1342.5,0.0,7.42,71.9,1.51,274.0
shrimp,301.1,stir_fry,259.8,279.1,50.71,5.27,7.2,1943.1,551.0,0.0,106.5,2.98,540.6
eggplant_pepper,250.4_138.8,braise,378.1,707.6,20.86,26.24,97.0,3626.3,0.0,3.65,77.8,9.65,1492.5
bell_pepper_pepper,217.9_451.4,roast,529.2,1883.9,66.66,70.49,245.71,1782.4,0.0,53.93,75.2,27.82,4585.1
cabbage,51.9,steam,49.8,13.4,0.76,0.1,2.35,89.0,0.0,10.43,25.0,0.32,59.6
garlic,149.5,boil,167.1,190.8,5.96,0.29,41.08,165.6,0.0,4.37,55.2,1.73,317.0
tomato,252.8,braise,248.4,93.6,1.99,1.77,17.42,2432.5,0.0,15.32,25.4,1.03,332.2
tofu,276.8,braise,262.9,314.2,20.29,17.39,19.11,1662.7,0.0,0.0,451.8,5.36,280.2
potato_eggplant_tomato,64.0_136.7_196.6,roast,309.5,152.8,4.25,2.78,27.7,1170.7,0.0,14.94,58.1,1.97,631.4
carrot,114.9,steam,113.9,47.2,1.08,0.23,10.22,205.7,0.0,6.75,37.2,1.13,188.5
cucumber,277.7,stir_fry,253.3,66.4,2.07,1.94,10.16,1231.9,0.0,9.29,65.6,1.38,248.4
onion,254.7,stir_fry,236.8,124.6,2.61,1.78,24.53,853.2,0.0,7.53,60.4,1.55,328.6
beef_fish_cabbage,369.1_490.2_374.2,stir_fry,1126.4,1106.6,78.27,60.31,62.69,6583.9,310.0,242.68,307.6,16.98,2282.7
cucumber_bell_pepper,260.6_121.0,deep_fry,292.0,95.4,3.33,2.67,14.53,1017.2,0.0,24.14,74.9,1.89,489.3
chicken_pork,485.7_211.3,stir_fry,628.9,1830.9,114.88,144.2,18.4,4607.0,683.9,0.0,57.0,10.26,1400.2
cucumber,229.9,stir_fry,212.4,54.3,1.66,1.61,8.3,1353.4,0.0,7.31,54.4,1.13,200.6
beef_small_pepper_banana,471.2_349.1_313.8,boil,1252.3,994.5,94.42,20.14,108.9,1372.2,395.8,227.38,250.4,20.46,1823.9
egg_onion,215.2_93.5,stir_fry,292.4,516.0,27.03,37.86,16.8,1975.8,1258.9,2.59,145.6,4.86,417.2
eggplant_pork_carrot,345.3_169.8_492.2,boil,1135.4,927.3,28.26,61.95,64.18,1338.3,135.8,29.95,238.7,9.03,1284.6
kiwi,318.8,boil,340.8,203.3,2.24,1.84,44.44,243.9,0.0,72.11,80.7,3.62,313.8
chicken,407.5,stir_fry,368.1,884.1,74.29,61.15,9.14,1899.3,432.0,0.0,36.5,5.75,846.7
pepper_small_pepper_orange_lemon,373.2_349.2_492.9_69.0,stir_fry,1157.0,2621.7,60.34,134.97,291.41,6423.8,0.0,223.18,410.2,28.77,4930.3
shrimp_egg_eggplant,413.0_108.8_295.7,boil,843.8,527.4,81.5,11.97,23.44,1223.5,1392.3,5.47,259.7,7.5,992.2
onion,143.7,stir_fry,126.6,71.4,1.46,1.01,14.12,765.4,0.0,4.22,34.6,0.85,174.9
ginger,255.6,deep_fry,201.4,161.7,2.97,5.37,25.38,612.4,0.0,1.46,68.2,3.59,591.2
pork,320.7,braise,312.5,1230.7,36.96,113.51,15.32,2079.8,256.6,0.0,19.2,5.07,515.5
bell_pepper_tofu,279.1_168.3,stir_fry,418.4,386.8,15.98,23.75,27.28,2289.4,0.0,98.44,296.8,4.58,879.8
tomato_cauliflower_tofu,478.8_294.0_343.6,steam,1035.0,462.8,36.54,14.08,47.48,1815.7,0.0,141.93,686.7,11.51,1643.4
chicken,81.3,deep_fry,59.9,194.1,14.11,14.84,1.02,194.8,86.2,0.0,7.3,1.15,171.2
garlic,365.5,steam,357.9,464.7,15.34,0.73,99.2,603.5,0.0,12.94,144.4,4.41,954.5
peach,415.1,boil,456.5,213.3,3.4,0.39,49.05,262.0,0.0,10.93,23.8,3.13,467.9
garlic_fish,435.7_392.2,steam,783.7,696.0,22.84,1.65,147.45,851.4,0.0,202.92,207.3,7.17,2124.2
pepper,66.6,deep_fry,50.5,279.5,8.94,12.44,32.95,182.0,0.0,0.0,8.1,3.94,568.3
garlic_cabbage_onion,371.9_281.9_237.8,boil,927.3,644.6,21.08,1.73,136.19,682.2,0.0,60.46,320.2,7.3,1294.5
cauliflower,393.5,stir_fry,349.9,140.2,7.38,2.75,21.48,1693.5,0.0,84.08,90.6,4.33,670.7
cabbage,293.7,stir_fry,260.5,94.9,3.96,2.06,15.14,1352.2,0.0,38.99,141.5,1.74,322.8
cucumber_pepper_ginger,103.3_383.1_454.8,boil,980.5,1647.4,57.38,46.89,248.97,686.7,0.0,9.97,183.6,28.47,3858.8
potato,254.0,deep_fry,188.5,202.8,4.59,1.78,42.12,540.5,0.0,10.8,20.2,2.06,667.5
eggplant,318.2,boil,335.7,80.1,3.2,0.6,15.47,273.1,0.0,5.96,73.2,1.54,316.7
